file_name,relative_path,json_path,markdown_path,size_bytes,modified_time_utc,sha256,page_count,text_chars,has_text,ocr,extraction_tool,extraction_options,extracted_at_utc,pdf_title,pdf_author,pdf_subject,pdf_creator,pdf_producer,pdf_creation_date,pdf_mod_date
Miljoeteknisk_grunnundersoekelse.pdf,Miljoeteknisk_grunnundersoekelse.pdf,ai_db_output/json/Miljoeteknisk_grunnundersoekelse.json,ai_db_output/markdown/Miljoeteknisk_grunnundersoekelse.md,24102998,2026-01-26T19:01:23.914113+00:00,46c31ddd34fe694dbaae3a7dd443606d3c15a09bae3375dc6e8f241f545c6fee,58,174723,True,False,pdftotext,-layout,2026-01-26T19:16:03.228771+00:00,,pbejob,,DocsCorp PDF,"PixEdit AS,  PixToolsLib Version 2.6.0.5",Fri Jun  3 15:30:44 2016 CEST,Fri Mar 15 09:44:50 2019 CET
Nabomerknader.pdf,Nabomerknader.pdf,ai_db_output/json/Nabomerknader.json,ai_db_output/markdown/Nabomerknader.md,213502,2026-01-26T19:00:42.769099+00:00,f29be16110286d3a975a40564340abed012cfb91e9f3d54215643b525d782830,1,2753,True,False,pdftotext,-layout,2026-01-26T19:16:03.259011+00:00,,Idar Lie Aslesen,,Microsoft® Word 2013,"PixEdit AS,  PixToolsLib Version 2.6.4.6",Wed Dec 10 15:00:03 2014 CET,Tue Jan 14 12:03:15 2020 CET
Opplysninger_gitt_i_nabovarsel_1.pdf,Opplysninger_gitt_i_nabovarsel_1.pdf,ai_db_output/json/Opplysninger_gitt_i_nabovarsel_1.json,ai_db_output/markdown/Opplysninger_gitt_i_nabovarsel_1.md,1345381,2026-01-26T19:00:47.097135+00:00,f7a4a8375d1a55e18c7d4f8aba31d12b2215d5b7d49ae1287b4c85c451be0681,2,3609,True,False,pdftotext,-layout,2026-01-26T19:16:03.287308+00:00,,pbejob,,,"PixEdit AS,  PixToolsLib Version 2.6.4.6",Mon Dec 15 12:30:11 2014 CET,Tue Jan 14 12:03:12 2020 CET
Opplysninger_gitt_i_nabovarsel_2.pdf,Opplysninger_gitt_i_nabovarsel_2.pdf,ai_db_output/json/Opplysninger_gitt_i_nabovarsel_2.json,ai_db_output/markdown/Opplysninger_gitt_i_nabovarsel_2.md,346469,2026-01-26T19:00:51.485507+00:00,bce084d70629f1f0e5e907280db1b51b9534589a0f57dc884a9a1b2b94b212d0,3,6341,True,True,tesseract,pdftoppm -r 300 -png + tesseract -l nor+eng,2026-01-26T19:16:53.567130+00:00,,pbejob,,NRG MP C4502,"PixEdit AS,  PixToolsLib Version 2.6.4.6",Mon Nov 24 16:33:47 2014 CET,Tue Jan 14 12:03:15 2020 CET
Plan_1_etasje.pdf,Plan_1_etasje.pdf,ai_db_output/json/Plan_1_etasje.json,ai_db_output/markdown/Plan_1_etasje.md,277011,2026-01-26T18:47:53.653523+00:00,ddc77cf1e7c6776b19e95bcfab795dd29b75fcd6b729f1c6029c0190f3ef9c6e,1,22342,True,False,pdftotext,-layout,2026-01-26T19:16:03.344686+00:00,R:\2023\1007416_Skøyen terrasse 1_Oppfølging av setningsskade_RIB\4_Produksjon\4_1_Prod ARK prosjekterende\4_1_1_Egne modeller\1 Revit\1007416_Skøyen terrasse 1_Setningsskade_ARK_NOMD300106 - Sheet - 1007416-00-A-01-PL-200-001 - Plan 01.pdf,"Disen, Marthe",,,Microsoft: Print To PDF,Wed Aug 27 13:12:06 2025 CEST,Wed Aug 27 13:12:06 2025 CEST
Plan_kjeller.pdf,Plan_kjeller.pdf,ai_db_output/json/Plan_kjeller.json,ai_db_output/markdown/Plan_kjeller.md,255367,2026-01-26T18:47:45.620950+00:00,2833632c7a3925521667254df319f8eb55854a1308f3a168eff9d920b4d2bc3a,1,22344,True,False,pdftotext,-layout,2026-01-26T19:16:03.381221+00:00,R:\2023\1007416_Skøyen terrasse 1_Oppfølging av setningsskade_RIB\4_Produksjon\4_1_Prod ARK prosjekterende\4_1_1_Egne modeller\1 Revit\1007416_Skøyen terrasse 1_Setningsskade_ARK_NOMD300106 - Sheet - 1007416-00-A-0U-PL-200-000 - Plan Kjeller.pdf,"Disen, Marthe",,,Microsoft: Print To PDF,Wed Aug 27 13:05:26 2025 CEST,Wed Aug 27 13:05:26 2025 CEST
Rammetillatelse (1).pdf,Rammetillatelse (1).pdf,ai_db_output/json/Rammetillatelse (1).json,ai_db_output/markdown/Rammetillatelse (1).md,81652,2026-01-26T18:50:49.922070+00:00,c4b627edcac4c7f0e7ebda39b2611f4099567d04b85daad0e1353a00d722d203,4,7172,True,False,pdftotext,-layout,2026-01-26T19:16:03.408120+00:00,,,,Microsoft Office Word,"PixEdit AS,  PixEdit Converter Server Core Version 2.8.8.15",Mon Jun  3 09:00:00 2024 CEST,Tue Jun  4 10:43:59 2024 CEST
Rammetillatelse.pdf,Rammetillatelse.pdf,ai_db_output/json/Rammetillatelse.json,ai_db_output/markdown/Rammetillatelse.md,81652,2026-01-26T18:49:27.901479+00:00,c4b627edcac4c7f0e7ebda39b2611f4099567d04b85daad0e1353a00d722d203,4,7172,True,False,pdftotext,-layout,2026-01-26T19:16:03.435795+00:00,,,,Microsoft Office Word,"PixEdit AS,  PixEdit Converter Server Core Version 2.8.8.15",Mon Jun  3 09:00:00 2024 CEST,Tue Jun  4 10:43:59 2024 CEST
Samtykke_fra_Arbeidstilsynet (1).pdf,Samtykke_fra_Arbeidstilsynet (1).pdf,ai_db_output/json/Samtykke_fra_Arbeidstilsynet (1).json,ai_db_output/markdown/Samtykke_fra_Arbeidstilsynet (1).md,134309,2026-01-26T18:50:45.880255+00:00,167edbb8430077a970a48f2bf5e0b95a7d20b9fcd27f7166302ae29ca1621863,4,7587,True,False,pdftotext,-layout,2026-01-26T19:16:03.477361+00:00,Brevmal for Arbeidstilsynet,Claes Gilljam,,Microsoft Office Word,Aspose.Words for .NET 22.5.0,Wed Jan 26 13:00:00 2022 CET,Wed May 18 15:14:00 2022 CEST
Samtykke_fra_Arbeidstilsynet.pdf,Samtykke_fra_Arbeidstilsynet.pdf,ai_db_output/json/Samtykke_fra_Arbeidstilsynet.json,ai_db_output/markdown/Samtykke_fra_Arbeidstilsynet.md,134309,2026-01-26T18:49:17.171474+00:00,167edbb8430077a970a48f2bf5e0b95a7d20b9fcd27f7166302ae29ca1621863,4,7587,True,False,pdftotext,-layout,2026-01-26T19:16:03.516656+00:00,Brevmal for Arbeidstilsynet,Claes Gilljam,,Microsoft Office Word,Aspose.Words for .NET 22.5.0,Wed Jan 26 13:00:00 2022 CET,Wed May 18 15:14:00 2022 CEST
